,Provinsi,Confirmed,Recovered,Deaths,Active cases,updateUnix,updateDate,updateTime,latitude,longitude,logo
0,DI. Aceh,10,4,1,1195,1588271979806,2020-04-30,18:39:39.806188,4.695135,96.7493993,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Coat_of_arms_of_Aceh.svg/1200px-Coat_of_arms_of_Aceh.svg.png
1,Bali,222,113,4,1255,1588271979806,2020-04-30,18:39:39.806188,-8.4095178,115.188916,https://4.bp.blogspot.com/-ELlrLdH0frM/WSz4AjqIWaI/AAAAAAAAASY/EF5ayA5zXn05TXw53cRUVTJeh6lzUJDDwCLcB/s400/Lambang%2BDaerah%2BProvinsi%2BBali%2B2.png
2,Bangka Belitung,7,2,1,1563,1588271979806,2020-04-30,18:39:39.806188,-2.7410513,106.4405872,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Coat_of_arms_of_Bangka_Belitung_Islands.svg/1200px-Coat_of_arms_of_Bangka_Belitung_Islands.svg.png
3,ProBanten,404,34,41,1875,1588271979806,2020-04-30,18:39:39.806188,-6.4058171999999995,106.0640179,https://upload.wikimedia.org/wikipedia/commons/8/82/Coat_of_arms_of_Banten.png
4,Bengkulu,12,1,1,854,1588271979806,2020-04-30,18:39:39.806188,-3.5778471,102.3463875,https://upload.wikimedia.org/wikipedia/commons/7/7d/Coat_of_arms_of_Bengkulu.png
5,Jawa Tengah,724,102,59,9726,1588271979806,2020-04-30,18:39:39.806188,-7.150975,110.1402594,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Jawa_Tengah_Logo.svg/526px-Jawa_Tengah_Logo.svg.png
6,Kalimantan Tengah,145,11,6,2229,1588271979806,2020-04-30,18:39:39.806188,-1.6814878,113.3823545,https://upload.wikimedia.org/wikipedia/commons/e/eb/Coat_of_arms_of_Central_Kalimantan.png
7,Sulawesi Tengah,47,8,3,537,1588271979806,2020-04-30,18:39:39.806188,-1.4300254,121.4456179,http://1.bp.blogspot.com/-Mb3OPbim3Gw/VrYYo_59GjI/AAAAAAAAVFw/oh24hNmZ1NU/s1600/LOGO%2BSULAWESI%2BTENGAH.png
8,Jawa Timur,958,157,96,1741,1588271979806,2020-04-30,18:39:39.806188,-7.5360639,112.2384017,https://2.bp.blogspot.com/-S1hrqQnm0nc/XDCpZ6C7iSI/AAAAAAAABvI/MlNdKdkNBHQa0lU-1I0gyTT5FbFSR2K0QCLcBGAs/s400/logo%2Bprovinsi%2Bjawa%2Btimur.png
9,Kalimantan Timur,134,12,1,1609,1588271979806,2020-04-30,18:39:39.806188,1.6406296,116.419389,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Coat_of_arms_of_East_Kalimantan.svg/1200px-Coat_of_arms_of_East_Kalimantan.svg.png
10,Nusa Tenggara Timur,3,1,0,1611,1588271979806,2020-04-30,18:39:39.806188,-8.6573819,121.0793705,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Coat_of_arms_of_East_Nusa_Tenggara.svg/1200px-Coat_of_arms_of_East_Nusa_Tenggara.svg.png
11,Gorontalo,15,2,1,141,1588271979806,2020-04-30,18:39:39.806188,0.6999371999999999,122.4467238,https://3.bp.blogspot.com/-75ec3fJKhgU/UNl0Tdg9UXI/AAAAAAAAIrg/YztGIINVa2w/s1600/LOGO+PROVINSI+GORONTALO.png
12,DKI Jakarta,4175,486,371,7073,1588271979806,2020-04-30,18:39:39.806188,-6.211544,106.845172,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Coat_of_arms_of_Jakarta.svg/1200px-Coat_of_arms_of_Jakarta.svg.png
13,Jambi,32,1,0,1497,1588271979806,2020-04-30,18:39:39.806188,-1.4851831,102.4380581,https://2.bp.blogspot.com/-y0bGVkW2XfY/Tdui2omcCgI/AAAAAAAADro/Ufjlj4w8nhs/s1600/logo+Jambi.png
14,Lampung,46,13,5,1391,1588271979806,2020-04-30,18:39:39.806188,-4.5585849,105.4068079,https://upload.wikimedia.org/wikipedia/commons/b/b9/Lampung_coa.png
15,Maluku,23,12,0,306,1588271979806,2020-04-30,18:39:39.806188,-3.2384616,130.1452734,https://upload.wikimedia.org/wikipedia/commons/2/2b/Lambang_Provinsi_Maluku.png
16,Kalimantan Utara,100,4,1,524,1588271979806,2020-04-30,18:39:39.806188,1.5802128,114.0308546,https://upload.wikimedia.org/wikipedia/commons/3/33/Emblem_of_North_Kalimantan.png
17,Maluku Utara,40,3,0,101,1588271979806,2020-04-30,18:39:39.806188,1.5709993,127.8087693,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Coat_of_arms_of_North_Maluku.png/1200px-Coat_of_arms_of_North_Maluku.png
18,Sulawesi Utara,45,14,4,1835,1588271979806,2020-04-30,18:39:39.806188,0.6246932,123.9750018,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Coat_of_arms_of_North_Sulawesi.svg/1200px-Coat_of_arms_of_North_Sulawesi.svg.png
19,Sumatera Utara,117,41,13,2307,1588271979806,2020-04-30,18:39:39.806188,2.1153547,99.5450974,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Coat_of_arms_of_North_Sumatra.svg/1200px-Coat_of_arms_of_North_Sumatra.svg.png
20,Irian Jaya Tengah,205,47,6,8801,1588271979806,2020-04-30,18:39:39.806188,-4.269928,138.0803529,https://upload.wikimedia.org/wikipedia/commons/d/de/Coat_of_Arms_of_Papua.png
21,Riau,41,16,4,5170,1588271979806,2020-04-30,18:39:39.806188,0.29334689999999997,101.7068294,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Coat_of_arms_of_Riau.svg/1200px-Coat_of_arms_of_Riau.svg.png
22,Kepulauan Riau,89,11,9,1568,1588271979806,2020-04-30,18:39:39.806188,3.9456514,108.1428669,https://upload.wikimedia.org/wikipedia/commons/e/ee/Coat_of_arms_of_Riau_Islands.png
23,Kalimantan Selatan,170,20,9,1806,1588271979806,2020-04-30,18:39:39.806188,-3.0926415,115.2837585,https://pngimage.net/wp-content/uploads/2018/06/logo-provinsi-kalimantan-selatan-png.png
24,Sulawesi Selatan,491,122,37,267,1588271979806,2020-04-30,18:39:39.806188,-3.6687994,119.9740534,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Coat_of_arms_of_South_Sulawesi.svg/1200px-Coat_of_arms_of_South_Sulawesi.svg.png
25,Sumatera Selatan,150,23,3,1452,1588271979806,2020-04-30,18:39:39.806188,-3.3194374,103.914399,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Coat_of_arms_of_South_Sumatra.svg/1200px-Coat_of_arms_of_South_Sumatra.svg.png
26,Sulawesi Tenggara,62,10,2,300,1588271979806,2020-04-30,18:39:39.806188,-4.14491,122.174605,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Coat_of_arms_of_Southeast_Sulawesi.svg/1200px-Coat_of_arms_of_Southeast_Sulawesi.svg.png
27,Daerah Istimewa Yogyakarta,95,41,13,3494,1588271979806,2020-04-30,18:39:39.806188,-7.8753849,110.4262088,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Coat_of_arms_of_Yogyakarta.svg/1200px-Coat_of_arms_of_Yogyakarta.svg.png
28,Jawa Barat,1012,143,83,30114,1588271979806,2020-04-30,18:39:39.806188,-7.090911,107.668887,https://3.bp.blogspot.com/-BRV8kAVyi4I/XDX3S86Pk5I/AAAAAAAABwA/K5fnfc4c1VYps0EcV32qP6yB96kghqU3QCLcBGAs/s1600/logo%2Bjawa%2Bbarat.png
29,Kalimantan Barat,58,7,3,1009,1588271979806,2020-04-30,18:39:39.806188,-0.2787808,111.4752851,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Coat_of_arms_of_West_Kalimantan.svg/1200px-Coat_of_arms_of_West_Kalimantan.svg.png
30,NusaTenggara Barat,230,31,4,2278,1588271979806,2020-04-30,18:39:39.806188,-8.6529334,117.3616476,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Coat_of_arms_of_West_Nusa_Tenggara.svg/1200px-Coat_of_arms_of_West_Nusa_Tenggara.svg.png
31,Irian Jaya Barat,37,0,1,263,1588271979806,2020-04-30,18:39:39.806188,-1.3361154,133.1747162,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Coat_of_arms_of_West_Papua.svg/1200px-Coat_of_arms_of_West_Papua.svg.png
32,Sulawesi Barat,42,3,1,83,1588271979806,2020-04-30,18:39:39.806188,-2.8441371,119.2320784,https://upload.wikimedia.org/wikipedia/commons/8/81/Coat_of_arms_of_West_Sulawesi.png
33,Sumatra Barat,148,25,15,2347,1588271979806,2020-04-30,18:39:39.806188,-0.7399397,100.80000509999999,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Coat_of_arms_of_West_Sumatra.svg/1200px-Coat_of_arms_of_West_Sumatra.svg.png
